#   Full data used in Becker et al. 2018
# data sources: K2 campaign 5 (K2 C5)
#               K2 campaign 18 (K2 C18)
#               HATNet survey (HAT)
#               Kelt (KELT)
#               WASP (WASP)
#   Errors are uniquely derived for HAT/KELT/WASP
# data sets. 
#   In the paper, we scale errors so that flat line 
# model has a chi-sq of 1, but that scaling is not
# reflected in this data file. 
#   K2 errors are set to the K2 precision for each 
# K2 campaign.
# Flux and error are normalized.
# BJD and BJD-2454833 are given in days.
#
,BJD,BJD-2454833,Flux,Error,Data_Source
89,2457142.389,2309.3894,1.0000143,3.80E-05,K2 C5
90,2457142.41,2309.4098,0.9999991,3.80E-05,K2 C5
91,2457142.43,2309.4302,0.9999897,3.80E-05,K2 C5
92,2457142.451,2309.4507,1.0000141,3.80E-05,K2 C5
93,2457142.471,2309.4711,0.99997648,3.80E-05,K2 C5
94,2457142.512,2309.512,1.0000799,3.80E-05,K2 C5
95,2457142.532,2309.5324,1.0000234,3.80E-05,K2 C5
96,2457142.553,2309.5528,0.99999029,3.80E-05,K2 C5
97,2457142.573,2309.5733,1.0000523,3.80E-05,K2 C5
98,2457142.594,2309.5937,1.0000664,3.80E-05,K2 C5
99,2457142.614,2309.6141,1.0000108,3.80E-05,K2 C5
100,2457142.635,2309.6346,0.9999885,3.80E-05,K2 C5
101,2457142.655,2309.655,1.0000302,3.80E-05,K2 C5
102,2457142.675,2309.6754,1.0000036,3.80E-05,K2 C5
103,2457142.696,2309.6959,0.99998813,3.80E-05,K2 C5
104,2457142.716,2309.7163,0.99998756,3.80E-05,K2 C5
105,2457142.737,2309.7367,1.0000221,3.80E-05,K2 C5
106,2457142.757,2309.7571,0.99999596,3.80E-05,K2 C5
107,2457142.778,2309.7776,1.0000258,3.80E-05,K2 C5
108,2457142.798,2309.798,0.99998724,3.80E-05,K2 C5
109,2457142.818,2309.8184,0.99995216,3.80E-05,K2 C5
110,2457142.839,2309.8389,0.99997796,3.80E-05,K2 C5
111,2457142.859,2309.8593,0.99995206,3.80E-05,K2 C5
112,2457142.88,2309.8797,0.99995896,3.80E-05,K2 C5
113,2457142.9,2309.9002,0.99997632,3.80E-05,K2 C5
114,2457142.921,2309.9206,0.99994976,3.80E-05,K2 C5
115,2457142.941,2309.941,0.99995526,3.80E-05,K2 C5
116,2457142.962,2309.9615,0.99995733,3.80E-05,K2 C5
117,2457142.982,2309.9819,0.99995833,3.80E-05,K2 C5
118,2457143.002,2310.0023,1.0000445,3.80E-05,K2 C5
119,2457143.023,2310.0228,1.0000606,3.80E-05,K2 C5
120,2457143.043,2310.0432,0.9999853,3.80E-05,K2 C5
121,2457143.064,2310.0636,0.99997926,3.80E-05,K2 C5
122,2457143.084,2310.0841,0.99995564,3.80E-05,K2 C5
123,2457143.105,2310.1045,1.000002,3.80E-05,K2 C5
124,2457143.125,2310.1249,1.0000689,3.80E-05,K2 C5
125,2457143.145,2310.1454,0.99998019,3.80E-05,K2 C5
126,2457143.166,2310.1658,0.99998553,3.80E-05,K2 C5
127,2457143.186,2310.1862,1.0000323,3.80E-05,K2 C5
128,2457143.207,2310.2067,1.0000173,3.80E-05,K2 C5
129,2457143.227,2310.2271,1.0000254,3.80E-05,K2 C5
130,2457143.248,2310.2475,1.0000447,3.80E-05,K2 C5
131,2457143.268,2310.268,1.0000309,3.80E-05,K2 C5
132,2457143.288,2310.2884,1.0000047,3.80E-05,K2 C5
133,2457143.309,2310.3088,1.0000504,3.80E-05,K2 C5
134,2457143.329,2310.3292,0.99999995,3.80E-05,K2 C5
135,2457143.35,2310.3497,1.0000032,3.80E-05,K2 C5
136,2457143.37,2310.3701,1.0000086,3.80E-05,K2 C5
137,2457143.391,2310.3905,1.0000016,3.80E-05,K2 C5
138,2457143.411,2310.411,0.99999581,3.80E-05,K2 C5
139,2457143.431,2310.4314,1.0000133,3.80E-05,K2 C5
140,2457143.452,2310.4518,0.99999531,3.80E-05,K2 C5
141,2457143.493,2310.4927,1.0000638,3.80E-05,K2 C5
142,2457143.513,2310.5131,0.99998756,3.80E-05,K2 C5
143,2457143.534,2310.5336,0.99998171,3.80E-05,K2 C5
144,2457143.554,2310.554,0.99995692,3.80E-05,K2 C5
145,2457143.574,2310.5744,1.0000037,3.80E-05,K2 C5
146,2457143.595,2310.5949,1.0000348,3.80E-05,K2 C5
147,2457143.615,2310.6153,1.0000006,3.80E-05,K2 C5
148,2457143.636,2310.6357,0.99999476,3.80E-05,K2 C5
149,2457143.656,2310.6562,1.0000417,3.80E-05,K2 C5
150,2457143.677,2310.6766,1.0000201,3.80E-05,K2 C5
151,2457143.697,2310.697,0.99996445,3.80E-05,K2 C5
152,2457143.738,2310.7379,0.99999327,3.80E-05,K2 C5
153,2457143.758,2310.7583,0.99992666,3.80E-05,K2 C5
154,2457143.779,2310.7788,0.99992465,3.80E-05,K2 C5
155,2457143.799,2310.7992,0.99994644,3.80E-05,K2 C5
156,2457143.82,2310.8196,1.0000073,3.80E-05,K2 C5
157,2457143.84,2310.84,0.9999753,3.80E-05,K2 C5
158,2457143.861,2310.8605,0.99998242,3.80E-05,K2 C5
159,2457143.881,2310.8809,0.99999473,3.80E-05,K2 C5
160,2457143.901,2310.9013,0.99999012,3.80E-05,K2 C5
161,2457143.922,2310.9218,0.99998156,3.80E-05,K2 C5
162,2457143.942,2310.9422,1.00002,3.80E-05,K2 C5
163,2457143.963,2310.9626,0.99998331,3.80E-05,K2 C5
164,2457143.983,2310.9831,0.99998495,3.80E-05,K2 C5
165,2457144.004,2311.0035,1.0000564,3.80E-05,K2 C5
166,2457144.024,2311.0239,1.0000695,3.80E-05,K2 C5
167,2457144.044,2311.0444,1.0000304,3.80E-05,K2 C5
168,2457144.065,2311.0648,0.99998862,3.80E-05,K2 C5
169,2457144.085,2311.0852,0.99995572,3.80E-05,K2 C5
170,2457144.106,2311.1057,0.99998842,3.80E-05,K2 C5
171,2457144.126,2311.1261,1.0000228,3.80E-05,K2 C5
172,2457144.147,2311.1465,1.0000097,3.80E-05,K2 C5
173,2457144.167,2311.167,0.99994979,3.80E-05,K2 C5
174,2457144.187,2311.1874,0.99998958,3.80E-05,K2 C5
175,2457144.228,2311.2283,1.0000901,3.80E-05,K2 C5
176,2457144.249,2311.2487,1.0000818,3.80E-05,K2 C5
177,2457144.269,2311.2691,1.0000353,3.80E-05,K2 C5
178,2457144.29,2311.2896,0.99996506,3.80E-05,K2 C5
179,2457144.31,2311.31,1.00001,3.80E-05,K2 C5
180,2457144.33,2311.3304,1.0000677,3.80E-05,K2 C5
181,2457144.351,2311.3508,0.99997112,3.80E-05,K2 C5
182,2457144.371,2311.3713,0.99998612,3.80E-05,K2 C5
183,2457144.392,2311.3917,1.0000127,3.80E-05,K2 C5
184,2457144.412,2311.4121,0.99997157,3.80E-05,K2 C5
185,2457144.433,2311.4326,1.0000072,3.80E-05,K2 C5
186,2457144.453,2311.453,0.99998648,3.80E-05,K2 C5
187,2457144.473,2311.4734,1.0000025,3.80E-05,K2 C5
188,2457144.494,2311.4939,0.99997497,3.80E-05,K2 C5
189,2457144.514,2311.5143,1.0000041,3.80E-05,K2 C5
190,2457144.535,2311.5347,0.9999741,3.80E-05,K2 C5
191,2457144.555,2311.5552,0.99997406,3.80E-05,K2 C5
192,2457144.576,2311.5756,0.99998361,3.80E-05,K2 C5
193,2457144.596,2311.596,0.99996048,3.80E-05,K2 C5
194,2457144.617,2311.6165,0.99997215,3.80E-05,K2 C5
195,2457144.637,2311.6369,0.99995429,3.80E-05,K2 C5
196,2457144.657,2311.6573,0.99997585,3.80E-05,K2 C5
197,2457144.678,2311.6778,0.99999242,3.80E-05,K2 C5
198,2457144.719,2311.7186,1.0000093,3.80E-05,K2 C5
199,2457144.739,2311.7391,1.000029,3.80E-05,K2 C5
200,2457144.76,2311.7595,1.000012,3.80E-05,K2 C5
201,2457144.78,2311.7799,1.0000354,3.80E-05,K2 C5
202,2457144.8,2311.8004,1.0000077,3.80E-05,K2 C5
203,2457144.821,2311.8208,1.0000467,3.80E-05,K2 C5
204,2457144.841,2311.8412,1.0000266,3.80E-05,K2 C5
205,2457144.862,2311.8616,0.99998768,3.80E-05,K2 C5
206,2457144.882,2311.8821,1.0000598,3.80E-05,K2 C5
207,2457144.903,2311.9025,1.0000573,3.80E-05,K2 C5
208,2457144.923,2311.9229,0.99996657,3.80E-05,K2 C5
209,2457144.943,2311.9434,1.0000332,3.80E-05,K2 C5
210,2457144.964,2311.9638,0.99998921,3.80E-05,K2 C5
211,2457144.984,2311.9842,0.99997786,3.80E-05,K2 C5
