Transit Timing Variations for WASP-47e (USP)
Note: Orbital period / other parameters for this planet are reported in Table 1 of https://arxiv.org/abs/1508.02411
————————————————————————————————
Label	Units	Comments
————————————————————————————————
time(days)	days	the observed time of center transit
ttv(min)	minutes	the derived ttv
error(min)	minutes	the error on the center time of transit (and on the ttv)
————————————————————————————————
time(days)	ttv(min)	error(min)				
2146.76117159 -4.95130384 4.750108232
2147.5497698 -6.38956383 6.150294572
2148.34964095 8.405204114 6.867701247
2149.13056966 -4.077136077 5.81214702
2149.92519704 3.16661193 4.641069795
2150.71444256 2.660493725 4.817364984
2151.50398028 2.575126143 7.253039813
2152.29357407 2.570496712 6.845903962
2153.08191073 0.755612102 4.952140435
2153.86900488 -2.848498142 4.50638675
2154.65725621 -4.786262193 6.594826364
2155.45254034 3.403204607 5.945335657
2156.24021254 0.631498544 4.724511459
2157.02760181 -2.547629183 6.483514302
2157.82142458 3.537478098 4.670676387
2158.60547291 -4.452612706 5.815960728
2159.39830801 0.210261443 6.192764839
2160.18522647 -3.646843047 6.076071175
2160.97290192 -6.413876403 5.486788304
2161.76323741 -5.350445913 6.420550372
2162.56084506 6.184885504 5.29677597
2163.34701749 1.253500495 5.682187897
2164.13364265 -3.025941388 4.930004998
2164.92391304 -2.056258164 4.648085962
2165.71442817 -0.734158882 6.755322152
2166.50709551 3.687136002 7.166303656
2167.29603199 2.735983959 7.149003196
2168.08538668 2.387065926 4.539563189
2168.87039635 -4.218688505 5.372938151
2169.66483176 2.748618577 5.846546707
2170.45615612 5.236010261 5.775452043
2171.24130364 -1.17123404 5.582152413
2172.03024485 -2.115579483 6.948368146
2172.81948775 -2.625473896 6.694047268
2173.6091701 -2.502568755 6.471510361
2174.39769616 -4.044736235 5.33565108
2175.19231785 3.190827457 7.116979882
2175.98335242 5.26093192 4.58485542
2176.76573922 -5.121764681 6.07870045
2177.55899999 0.15406676 4.544140033
2178.34603117 -3.540710746 7.218235252
2179.1322203 -8.448040823 6.712135076
2179.92872812 1.503537106 5.927885882
2180.71919401 2.754732222 6.074833818
2181.50458161 -3.306799625 4.532130451
2182.30243875 8.587803008 4.483248316
2183.08643347 0.520518721 5.435761583
2183.87479567 -1.257592055 5.77501812
2184.66400887 -1.810270526 4.444060472
2185.4476719 -10.35517814 4.501971575
2186.24331546 -1.648137211 5.874525017
2187.03130035 -3.969571347 6.884837037
2187.82309142 -0.810109726 5.352671664
2188.61234695 -1.301831575 4.527130046
2189.40316581 0.457643551 4.919214553
2190.19250804 0.090776995 7.113616129
2190.98125981 -1.126359622 5.751913886
2191.77381568 3.134420042 6.968968366
2192.5569426 -6.182490231 4.381685985
2193.34937766 -2.095688617 5.744976389
2194.14181907 2.0002664 4.704570601
2194.92480632 -7.517779627 6.117033726
2195.7194999 -0.178710584 7.247743365
2196.51920943 14.38333682 5.765465801
2197.30017157 1.949136856 5.604449336
2198.090111 2.442238063 4.995688604
2198.87928181 1.828532526 6.955521218
2199.66701524 -0.855013447 7.055742536
2200.4572458 0.057313807 6.110723436
2201.24439126 -3.472902904 6.357430607
2202.03017063 -8.970296313 6.311228074
2202.82586154 -0.195062452 6.611023508
2203.61371721 -2.70258017 6.843674869
2204.40784814 3.826283428 4.346329299
2205.19415556 -0.910719409 4.650105182
2205.98810309 5.354043407 5.059511783
2206.77474233 1.09487639 6.908994456
2207.56727449 5.321510426 5.729135723
2208.35295263 -0.321655511 6.127455634
2209.14385276 1.554852896 4.838255669
2209.93617243 5.475504989 5.857159976
2210.72131692 -0.936113404 4.628227115
2211.50763605 -5.656242733 6.806296671
2212.30291136 2.520519521 5.00230817
2213.09252495 2.544404231 5.903465176
